Начало простоя,Конец простоя,Reason 3 (ID),Reason 3 (ENG),Описание,Длительность,Название детали
2021-10-10 17:55:21,2021-10-10 17:59:18,2010004.0,Breakdowns,Замена дросселя нагнетания. Клапан №48,4,Дроссель нагнетания - Клапан №48
2021-10-11 23:49:06,2021-10-11 23:51:14,2010004.0,Breakdowns,Замена дросселя нагрузки 99,2,Дроссель нагрузки - №99
2021-10-12 22:18:35,2021-10-12 22:26:17,2010004.0,Breakdowns,Замена дросселя нагнетания. Клапан №46,8,Дроссель нагнетания - Клапан №46
2021-10-13 11:20:38,2021-10-13 11:32:19,2010004.0,Breakdowns,Выбивает двигатель при регулировке высоты,12,-
2021-10-13 16:54:06,2021-10-13 17:01:25,2010004.0,Breakdowns,"Замена двух дросселей на наполнителях № 35, 40",7,"Дроссели - №35, 40"
2021-10-13 21:27:52,2021-10-13 21:33:12,2010004.0,Breakdowns,Клапана 100 и 4. замена дросселей нагнетания и тормозных пластин,5,"Дроссели нагнетания и тормозные пластины - Клапаны №100, 4"
2021-10-14 09:34:30,2021-10-14 09:40:14,2010004.0,Breakdowns,Замена двух дросселей № 57,6,Дроссели - №57
2021-10-14 09:42:46,2021-10-14 09:47:37,2010004.0,Breakdowns,Замена прижимного колпака № 57,5,Прижимной колпак - №57
2021-10-14 14:33:14,2021-10-14 14:37:39,2010004.0,Breakdowns,Замена двух дросселей №107,4,Дроссели - №107
2021-10-14 14:40:19,2021-10-14 14:48:16,2010004.0,Breakdowns,Замена тормозной пластины и прижимной резинки № 107,8,Тормозная пластина и прижимная резинка - №107
2021-10-14 17:47:09,2021-10-14 17:50:22,2010004.0,Breakdowns,Замена двух дросселей №66,3,Дроссели - №66
2021-10-21 15:44:32,2021-10-21 15:53:43,2010004.0,Breakdowns,Замена сбросного дросселя и прижимного колокола № 4,9,Сбросной дроссель и прижимной колокол - №4
2021-10-23 16:58:23,2021-10-23 17:02:07,2010004.0,Breakdowns,Замена дросселя разгрузки 11 клапан,4,Дроссель разгрузки - Клапан №11
2021-11-01 20:56:00,2021-11-01 20:58:40,2010004.0,Breakdowns,замена нижнего дросселя 80 наполнитель,3,Нижний дроссель - №80
2021-11-02 20:44:18,2021-11-02 20:51:48,2010004.0,Breakdowns,замена 2х дросселей 26 наполн,8,Дроссели - №26
2021-11-03 06:03:41,2021-11-03 06:07:40,2010004.0,Breakdowns,замена дросселя 65 заклинил,4,Дроссель - №65
2021-11-03 06:25:28,2021-11-03 06:29:02,2010004.0,Breakdowns,67 нап  замена нижнего дросселя,4,Нижний дроссель - №67
2021-11-03 06:32:49,2021-11-03 06:35:23,2010004.0,Breakdowns,67 замена верхнего дросселя,3,Верхний дроссель - №67
2021-11-15 09:21:06,2021-11-15 09:26:29,2010004.0,Breakdowns,замена тормозной пластины 26 нап,5,Тормозная пластина - №26
2021-11-18 16:52:09,2021-11-18 16:56:26,2010004.0,Breakdowns,МЕХ. Замена тормозной пластины. 77,4,Тормозная пластина - №77
2021-11-18 21:32:51,2021-11-18 21:35:14,2010004.0,Breakdowns,замена дросселя 6 вехний,2,Верхний дроссель - №6
2021-11-18 21:42:14,2021-11-18 21:44:39,2010004.0,Breakdowns,6 нап замена нижнего дросселя,2,Нижний дроссель - №6
2021-11-25 06:30:20,2021-11-25 06:34:36,2010004.0,Breakdowns,устранение недолива на 77 наполнителе.,4,-
2021-11-25 06:38:29,2021-11-25 06:41:29,2010004.0,Breakdowns,устранение недолива на 86 наполнителе.,3,-
2021-11-25 08:08:11,2021-11-25 08:54:11,2010004.0,Breakdowns,Перед СИП ремонт 7ми нполнителей. 4 из них заменены. Крошится или рвется резина в верхней састи наполнителя. Ремонт производил Зеров О.,46,-
2021-11-25 12:02:49,2021-11-25 12:08:04,2010004.0,Breakdowns,Устранение недоливов замена нижней части наполнителя (колокол),5,Нижняя часть наполнителя (колокол) -
2021-11-25 12:23:00,2021-11-25 12:29:50,2010004.0,Breakdowns,Устранение недолива Замена нижней части паполнителя.,7,Нижняя часть наполнителя -
2021-11-25 12:40:25,2021-11-25 12:47:32,2010004.0,Breakdowns,Устранение недолива Замена нижней части паполнителя.,7,Нижняя часть наполнителя -
2021-11-26 16:55:12,2021-11-26 16:59:41,2010004.0,Breakdowns,МЕХ. Устр. недоливов. 84//97. Замена тормозной пластины.,4,"Тормозная пластина - №84, 97"
2021-11-29 20:41:11,2021-11-29 20:43:36,2010004.0,Breakdowns,МЕХ. Недолив № 20. Замена тормозной пластины.,2,Тормозная пластина - №20
2021-11-30 15:00:37,2021-11-30 15:04:45,2010004.0,Breakdowns,смена тормозной пластины 12 наполнит,4,Тормозная пластина - №12
2021-11-30 15:04:45,2021-11-30 15:11:16,2010004.0,Breakdowns,замена тормозной пластины 77,7,Тормозная пластина - №77
